 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  39   1     0.03   0.00   0.03    -0.02   0.00  -0.01     0.01   0.01   0.06
  40   1     0.03  -0.02   0.03    -0.01  -0.01  -0.00    -0.00   0.02   0.07
  41   1     0.04   0.00   0.03    -0.01   0.00  -0.01    -0.01   0.01   0.04
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    52.9259                53.7476                71.3009
 Red. masses --    16.6196                14.2716                22.4610
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     6.4906                 1.5379                 1.5553
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.05  -0.15  -0.06     0.01  -0.07  -0.10    -0.01  -0.08  -0.05
   2   6     0.06  -0.08  -0.11     0.04  -0.06  -0.13    -0.01  -0.08  -0.06
   3   8     0.24   0.00  -0.00     0.10  -0.07  -0.13     0.02  -0.02  -0.02
   4  15     0.13   0.04   0.06     0.09  -0.09  -0.17     0.13   0.01   0.15
   5  16    -0.04   0.30   0.03     0.21  -0.08  -0.13     0.22   0.23   0.22
   6   8     0.06  -0.12   0.13     0.04  -0.12  -0.17     0.11   0.07   0.09
   7   6    -0.09  -0.17   0.06     0.10   0.01   0.20     0.15   0.06   0.02
   8   6    -0.09  -0.34   0.01     0.09   0.20   0.59     0.15   0.07  -0.15
   9  16     0.16   0.09   0.02    -0.12   0.03  -0.13     0.18  -0.22   0.25
  10   6     0.05   0.07  -0.05    -0.03  -0.00  -0.01    -0.00  -0.07   0.01
  11  16     0.11   0.14  -0.09    -0.09  -0.05   0.03    -0.10  -0.14  -0.10
  12  15    -0.07   0.08  -0.04    -0.07   0.05   0.05    -0.15   0.00  -0.05
  13  16     0.12   0.18  -0.13    -0.05   0.16  -0.05    -0.34   0.12  -0.18
  14   8    -0.21   0.15  -0.03    -0.05   0.06   0.10    -0.04  -0.02   0.02
  15   6    -0.21   0.09   0.06    -0.05   0.04   0.10     0.02  -0.02   0.08
  16   6    -0.19   0.01   0.07    -0.04   0.02   0.10     0.06  -0.09   0.08
  17   8    -0.12  -0.12   0.04    -0.06   0.01   0.05    -0.07   0.06   0.05
