 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  38   1    -0.02  -0.01   0.01     0.04   0.03   0.08     0.05   0.00  -0.01
  39   1    -0.02  -0.00   0.01     0.01   0.02   0.06     0.05  -0.00   0.02
  40   1    -0.02   0.00   0.02     0.00   0.01   0.04     0.04  -0.02  -0.01
  41   1    -0.02  -0.00   0.02     0.03   0.01   0.02     0.05   0.01  -0.01
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    60.4083                74.7490                67.1973
 Red. masses --    18.4606                28.9908                15.9354
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.5648                 1.6665                 3.2344
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.03  -0.12   0.16     0.11  -0.08   0.05     0.32   0.25   0.04
   2   6    -0.08  -0.11   0.19     0.05  -0.09   0.07     0.08   0.02   0.15
   3   8    -0.20  -0.05   0.11    -0.01  -0.05   0.02    -0.11  -0.15  -0.05
   4  15    -0.21   0.03  -0.08     0.13   0.06  -0.01    -0.09  -0.14  -0.08
   5  16    -0.02  -0.06  -0.15     0.46  -0.01   0.27     0.03  -0.22  -0.21
   6   8    -0.31   0.15  -0.10    -0.05   0.02  -0.06    -0.07  -0.02  -0.05
   7   6    -0.19   0.11  -0.01    -0.08   0.01  -0.10    -0.04  -0.01   0.00
   8   6    -0.10   0.13   0.11    -0.07   0.01  -0.06    -0.03  -0.01   0.02
   9  16    -0.07   0.12  -0.32     0.23   0.25  -0.27    -0.20  -0.04   0.01
  10   6    -0.01   0.10  -0.07     0.01   0.10  -0.10    -0.04   0.02   0.04
  11  16     0.15   0.03   0.03    -0.15   0.02  -0.19    -0.06   0.09   0.06
  12  15     0.19  -0.02   0.02    -0.14  -0.05  -0.02    -0.04   0.04   0.13
  13  16     0.14   0.19   0.00    -0.46  -0.24   0.15    -0.03  -0.19   0.18
  14   8     0.14  -0.14   0.10     0.01   0.03   0.06    -0.03   0.12   0.03
  15   6     0.07  -0.15   0.15    -0.01   0.02   0.08    -0.02   0.07  -0.07
  16   6     0.00  -0.13   0.15    -0.03   0.01   0.03    -0.02   0.07  -0.08
  17   8     0.20  -0.07  -0.12    -0.03   0.00   0.01    -0.06   0.07   0.19
  18   6     0.11  -0.03  -0.04     0.00  -0.01   0.05     0.15  -0.03  -0.10
  19   6     0.07  -0.10   0.01    -0.00  -0.01   0.05     0.32   0.21  -0.22
