 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  39   1    -0.02  -0.03  -0.01     0.02   0.02  -0.02     0.03  -0.01   0.00
  40   1    -0.02  -0.02  -0.01     0.03   0.01  -0.04     0.02  -0.02  -0.00
  41   1    -0.02  -0.02   0.00     0.03   0.01  -0.02     0.02  -0.01  -0.00
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    58.8984                71.8098                72.1600
 Red. masses --    18.2616                24.1901                17.4408
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     4.5784                 6.1651                 9.5004
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.00  -0.03  -0.19    -0.13  -0.16   0.05    -0.05  -0.28   0.05
   2   6     0.08  -0.01  -0.23    -0.02  -0.14   0.02    -0.01  -0.23  -0.11
   3   8     0.17   0.07  -0.18    -0.01  -0.03  -0.00     0.04  -0.14  -0.08
   4  15     0.12   0.05   0.00     0.02   0.21  -0.08     0.00   0.02   0.03
   5  16    -0.25  -0.13  -0.07     0.30   0.32  -0.04    -0.17   0.34   0.18
   6   8     0.23   0.08   0.07     0.06   0.19  -0.06     0.15  -0.01   0.14
   7   6     0.15   0.07   0.02     0.10   0.16  -0.02    -0.01   0.01  -0.07
   8   6     0.10   0.05  -0.01     0.11   0.14  -0.01    -0.13   0.11  -0.20
   9  16     0.06   0.11   0.31    -0.16   0.29  -0.01    -0.01   0.01  -0.13
  10   6     0.07   0.01   0.15    -0.08   0.04  -0.02     0.00   0.01  -0.09
  11  16     0.09  -0.02   0.15    -0.04  -0.24   0.00    -0.01   0.10  -0.14
  12  15    -0.12  -0.04   0.05    -0.04  -0.25   0.03     0.06   0.05   0.02
  13  16    -0.00   0.04   0.21     0.14  -0.37  -0.07     0.17   0.16   0.22
  14   8    -0.25  -0.01   0.12    -0.01  -0.17   0.01     0.00  -0.02   0.03
  15   6    -0.16  -0.09   0.04    -0.06  -0.08   0.06    -0.04   0.02   0.05
  16   6    -0.12  -0.14  -0.02    -0.08  -0.05   0.08    -0.09   0.12   0.12
  17   8    -0.13  -0.09  -0.16    -0.04  -0.07   0.03     0.03   0.01  -0.03
  18   6    -0.04   0.01  -0.22    -0.02   0.08   0.06     0.02  -0.17  -0.09
  19   6     0.02   0.06  -0.27    -0.11   0.15   0.02     0.06  -0.35   0.05
  20   1     0.00   0.00  -0.05    -0.06  -0.04   0.02    -0.02  -0.05   0.04
  21   1    -0.01  -0.01  -0.04    -0.04  -0.03   0.01    -0.02  -0.10   0.03
  22   1    -0.01  -0.02  -0.06    -0.04  -0.07   0.02    -0.02  -0.10   0.02
  23   1     0.02  -0.01  -0.07     0.02  -0.05   0.00    -0.01  -0.09  -0.05
  24   1     0.04  -0.01  -0.08    -0.00  -0.06   0.01     0.01  -0.05  -0.05
  25   1     0.04   0.03   0.01     0.03   0.04  -0.00    -0.01   0.03  -0.01
  26   1     0.04   0.01   0.00     0.03   0.06  -0.00     0.01  -0.04  -0.04
  27   1     0.03   0.01  -0.01     0.03   0.05  -0.01    -0.03   0.02  -0.07
  28   1     0.02   0.02   0.00     0.03   0.03  -0.01    -0.06   0.07  -0.03
  29   1     0.02   0.01   0.00     0.04   0.04   0.01    -0.05   0.03  -0.09
  30   1     0.03  -0.00   0.05    -0.00   0.02  -0.01    -0.00  -0.00  -0.02
  31   1     0.02  -0.00   0.03    -0.06   0.01  -0.00     0.01   0.00  -0.03
  32   1    -0.04  -0.03   0.03    -0.02  -0.01   0.01    -0.02   0.00  -0.00
  33   1    -0.05  -0.02  -0.01    -0.02  -0.03   0.03     0.01   0.00   0.03
  34   1    -0.02  -0.05   0.00    -0.02  -0.01   0.01    -0.04   0.04   0.02
  35   1    -0.03  -0.05  -0.01    -0.03  -0.00   0.03    -0.03   0.05   0.04
  36   1    -0.04  -0.04  -0.02    -0.02  -0.03   0.03    -0.02   0.04   0.05
  37   1    -0.03   0.01  -0.08    -0.01   0.04   0.02     0.01  -0.03  -0.02
  38   1     0.01   0.01  -0.05     0.02   0.03   0.03    -0.01  -0.06  -0.07
  39   1    -0.01   0.02  -0.09    -0.06   0.04  -0.01     0.03  -0.09   0.05
  40   1     0.02   0.03  -0.09    -0.03   0.07   0.01     0.01  -0.14   0.01
  41   1     0.02   0.02  -0.06    -0.03   0.03   0.01     0.01  -0.12   0.00
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    80.7776                70.6656                78.6780
 Red. masses --    18.4043                12.7349                14.0027
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --    10.1206                 2.5653                 3.2077
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.07  -0.19   0.38     0.03  -0.09   0.22    -0.14  -0.06  -0.02
   2   6    -0.00  -0.08   0.06    -0.03  -0.04   0.06     0.03  -0.03  -0.06
   3   8    -0.03   0.21  -0.07    -0.09   0.02  -0.03     0.08   0.15  -0.06
   4  15    -0.05   0.06  -0.09    -0.10   0.07  -0.10     0.10   0.08  -0.06
   5  16    -0.35  -0.04  -0.14    -0.05   0.04  -0.12     0.08  -0.12  -0.16
   6   8    -0.05   0.00  -0.05    -0.05   0.06  -0.06     0.04   0.02  -0.05
   7   6     0.08  -0.01   0.05     0.18   0.02   0.13    -0.04   0.01   0.13
   8   6     0.15  -0.01   0.10     0.35  -0.03   0.26    -0.02  -0.20   0.22
   9  16     0.19  -0.04  -0.14    -0.17   0.12  -0.02     0.10   0.11   0.12
  10   6     0.11  -0.03  -0.07    -0.11   0.01  -0.00     0.09   0.03   0.03
  11  16     0.17  -0.02  -0.12    -0.14   0.04   0.12     0.10   0.11  -0.06
  12  15     0.08  -0.08  -0.02    -0.06   0.09   0.03     0.07   0.12  -0.08
  13  16    -0.29   0.08   0.09     0.00   0.00  -0.08     0.08   0.04  -0.20
  14   8     0.11  -0.05  -0.03    -0.07   0.10   0.03     0.03   0.05  -0.04
  15   6    -0.01   0.04   0.03     0.09  -0.01  -0.03    -0.24   0.05  -0.07
  16   6    -0.10   0.11   0.14     0.20  -0.09  -0.17    -0.33  -0.16   0.07
  17   8     0.08  -0.21   0.00    -0.05   0.11   0.00     0.07   0.09   0.02
  18   6     0.09   0.04   0.06    -0.02  -0.18  -0.14    -0.04  -0.07   0.12
  19   6     0.01   0.22  -0.06     0.22  -0.32  -0.06    -0.19  -0.25   0.28
  20   1    -0.05  -0.00   0.15     0.01  -0.00   0.08    -0.06  -0.01  -0.00
  21   1    -0.01  -0.09   0.10     0.02  -0.05   0.06    -0.05   0.00  -0.00
  22   1    -0.01  -0.10   0.14     0.02  -0.03   0.08    -0.05  -0.05  -0.01
  23   1     0.03  -0.07  -0.02     0.00  -0.04  -0.00     0.03  -0.02  -0.02
  24   1    -0.01   0.00   0.02    -0.02   0.01   0.02     0.02  -0.03  -0.02
  25   1     0.03  -0.03   0.01     0.07  -0.04   0.02    -0.01   0.01   0.04
  26   1     0.03   0.02   0.02     0.05   0.06   0.06    -0.03   0.03   0.06
  27   1     0.04   0.02   0.03     0.09   0.02   0.10    -0.00  -0.07   0.06
  28   1     0.04  -0.02   0.02     0.12  -0.04   0.05     0.01  -0.08   0.04
  29   1     0.06  -0.00   0.04     0.12  -0.01   0.10    -0.02  -0.06   0.10
  30   1     0.03  -0.01  -0.02    -0.03  -0.01   0.01     0.03  -0.00   0.02
  31   1     0.03  -0.01  -0.02    -0.04  -0.00  -0.01     0.03   0.00  -0.00
  32   1    -0.02   0.02  -0.02     0.04  -0.01   0.03    -0.07   0.05  -0.05
  33   1     0.01   0.00   0.03     0.01   0.01  -0.03    -0.10   0.02  -0.03
  34   1    -0.04   0.04   0.03     0.08  -0.03  -0.03    -0.07  -0.06   0.04
  35   1    -0.05   0.05   0.05     0.08  -0.04  -0.06    -0.15  -0.06   0.01
  36   1    -0.01   0.03   0.07     0.04  -0.02  -0.08    -0.09  -0.07   0.04
  37   1     0.02   0.01   0.01    -0.02  -0.07  -0.06     0.01   0.01   0.07
  38   1     0.06   0.02   0.05    -0.04  -0.06  -0.07    -0.03  -0.03  -0.01
  39   1    -0.02   0.05  -0.06     0.10  -0.08   0.01    -0.05  -0.06   0.13
  40   1     0.01   0.10  -0.01     0.06  -0.14  -0.04    -0.07  -0.09   0.10
  41   1     0.01   0.06  -0.01     0.07  -0.07  -0.00    -0.08  -0.10   0.05
                     10                     11                     12
                        a                      a                      a 
 Frequencies --    71.2913                78.0222                90.7352
 Red. masses --    12.1698                11.4978                13.6534
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.3724                 0.1504                 0.5044
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.30  -0.23   0.09     0.47   0.01   0.33    -0.14   0.08   0.00
   2   6    -0.05  -0.19   0.04     0.13   0.10  -0.00    -0.06   0.05   0.11
   3   8    -0.00   0.09   0.04     0.08  -0.02  -0.09    -0.06   0.08   0.13
   4  15     0.01   0.08   0.03     0.06  -0.02  -0.03    -0.06  -0.03   0.11
   5  16     0.00   0.04   0.01    -0.21   0.06   0.02    -0.04  -0.01   0.11
   6   8    -0.04   0.05  -0.01     0.14  -0.01   0.05    -0.11   0.00   0.02
