 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  39   1     0.01  -0.03   0.02    -0.00   0.02  -0.04     0.01   0.01  -0.03
  40   1     0.01  -0.02   0.04     0.01   0.01  -0.05     0.00  -0.01  -0.04
  41   1     0.01  -0.01   0.04     0.01  -0.02  -0.06     0.01   0.01  -0.02
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    51.3603                63.4326                58.0447
 Red. masses --    14.1162                22.2015                12.3037
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.7972                 2.3049                 2.8474
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.35  -0.22  -0.31    -0.16  -0.21  -0.11     0.10   0.12  -0.14
   2   6    -0.23  -0.06  -0.05     0.03  -0.01   0.01    -0.03   0.00  -0.12
   3   8    -0.02   0.03   0.17     0.10   0.11   0.08     0.03  -0.08  -0.08
   4  15    -0.04   0.06   0.19     0.13   0.18  -0.02     0.07  -0.12   0.00
   5  16    -0.08   0.09   0.08     0.14   0.17   0.11     0.11  -0.15   0.08
   6   8     0.01   0.09   0.17    -0.04   0.14  -0.08     0.08  -0.13   0.00
   7   6     0.01   0.16   0.14    -0.11   0.07  -0.03    -0.21   0.24   0.04
   8   6    -0.00   0.18   0.08    -0.14   0.06  -0.05    -0.48   0.24  -0.29
   9  16    -0.01  -0.07   0.18     0.34   0.16  -0.24     0.06  -0.09  -0.00
  10   6     0.03  -0.02  -0.05    -0.01  -0.01   0.03     0.04  -0.05  -0.01
  11  16     0.00   0.18  -0.14     0.03  -0.42   0.14     0.12  -0.01  -0.01
  12  15     0.08  -0.02  -0.09    -0.07  -0.14   0.05     0.07   0.06   0.09
  13  16     0.05   0.04  -0.09    -0.07  -0.09   0.04     0.00   0.10   0.10
  14   8     0.03  -0.10   0.01     0.02   0.00   0.01     0.07   0.05   0.08
  15   6     0.08  -0.10   0.01     0.08   0.09  -0.02    -0.04  -0.08   0.11
  16   6     0.17  -0.15   0.07     0.06   0.21   0.06    -0.15  -0.12  -0.06
  17   8     0.14  -0.05  -0.10    -0.16  -0.10   0.02     0.06   0.04   0.06
  18   6     0.10  -0.07  -0.14    -0.15  -0.10  -0.01     0.02   0.02   0.03
  19   6     0.04  -0.03  -0.16    -0.17  -0.07  -0.04    -0.04   0.01   0.04
  20   1    -0.14  -0.07  -0.12    -0.06  -0.08  -0.04     0.02   0.05  -0.05
  21   1    -0.05  -0.10  -0.11    -0.03  -0.11  -0.04     0.04   0.06  -0.05
  22   1    -0.14  -0.04  -0.09    -0.10  -0.04  -0.04     0.06   0.02  -0.03
  23   1    -0.13   0.02   0.01    -0.01   0.04   0.01    -0.02  -0.02  -0.03
  24   1    -0.02  -0.04  -0.03     0.06  -0.03   0.01    -0.04   0.02  -0.05
  25   1     0.01   0.05   0.05    -0.04   0.02  -0.02    -0.04   0.10   0.07
  26   1     0.00   0.05   0.03    -0.03   0.02   0.01    -0.07   0.11   0.04
  27   1     0.00   0.05   0.03    -0.04   0.02  -0.03    -0.12   0.03  -0.12
  28   1    -0.00   0.07   0.02    -0.06   0.00  -0.01    -0.19   0.13  -0.07
  29   1    -0.00   0.05   0.01    -0.03   0.02  -0.00    -0.15   0.05  -0.13
  30   1     0.01  -0.02  -0.02    -0.02  -0.01   0.02     0.01  -0.02  -0.00
  31   1     0.01  -0.01  -0.02    -0.03   0.03   0.02     0.01  -0.01  -0.01
  32   1     0.03  -0.02  -0.01     0.03   0.02  -0.01    -0.02  -0.04   0.05
  33   1     0.01  -0.03   0.01     0.04   0.03  -0.02    -0.00  -0.02   0.05
  34   1     0.04  -0.05   0.04     0.02   0.07   0.02    -0.03  -0.02  -0.04
  35   1     0.06  -0.04   0.01    -0.00   0.06   0.03    -0.05  -0.04  -0.03
  36   1     0.06  -0.04   0.02     0.03   0.08   0.01    -0.07  -0.06  -0.01
  37   1     0.03  -0.03  -0.04    -0.04  -0.03  -0.01     0.01  -0.00  -0.00
  38   1     0.03  -0.02  -0.04    -0.04  -0.03  -0.01     0.01   0.01   0.01
  39   1     0.01  -0.01  -0.04    -0.04  -0.01  -0.01    -0.02   0.00   0.01
  40   1     0.01  -0.02  -0.06    -0.06  -0.03  -0.02    -0.01   0.00   0.01
  41   1     0.01  -0.00  -0.04    -0.05  -0.01  -0.02    -0.01   0.01   0.02
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    56.0360                75.4942                58.6021
 Red. masses --    12.6988                25.5141                11.5630
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.6806                 2.5025                 1.1317
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.10   0.14   0.15     0.01  -0.09  -0.03    -0.11  -0.17  -0.01
   2   6    -0.03  -0.00   0.02     0.04  -0.06  -0.02     0.03  -0.02   0.06
   3   8    -0.12  -0.08  -0.06     0.03  -0.06  -0.04     0.02   0.03   0.06
   4  15    -0.12  -0.09   0.01     0.15  -0.01   0.04    -0.02   0.02  -0.01
   5  16    -0.03  -0.16   0.21     0.35  -0.13   0.27    -0.07   0.04   0.16
   6   8    -0.09  -0.12  -0.01     0.06  -0.04  -0.01    -0.08  -0.03  -0.05
   7   6    -0.08   0.00  -0.02    -0.00  -0.05   0.01     0.01  -0.12  -0.06
   8   6     0.19   0.42  -0.24    -0.05  -0.07  -0.01     0.38   0.26  -0.12
   9  16    -0.08   0.11  -0.07     0.17   0.11  -0.01     0.13   0.03  -0.17
  10   6    -0.02   0.07   0.06    -0.03   0.03  -0.08     0.01  -0.01  -0.08
  11  16    -0.07  -0.08   0.11    -0.24   0.16  -0.24     0.11  -0.04  -0.08
  12  15    -0.03  -0.07  -0.04    -0.22   0.01  -0.07     0.03   0.05   0.05
  13  16     0.02   0.06  -0.07    -0.47  -0.12   0.01    -0.08   0.06   0.08
  14   8    -0.03  -0.09   0.01    -0.16  -0.03   0.02     0.05   0.06   0.05
  15   6     0.12   0.06  -0.04    -0.04   0.02  -0.00    -0.13  -0.16   0.11
  16   6     0.30   0.06   0.18     0.05   0.01   0.10    -0.37  -0.18  -0.18
  17   8    -0.04  -0.11  -0.10    -0.01   0.03  -0.00     0.03   0.06   0.06
  18   6     0.00  -0.07  -0.08     0.12   0.14   0.04     0.03   0.06   0.07
  19   6     0.07  -0.05  -0.11     0.30   0.13   0.02     0.02   0.04   0.08
  20   1     0.04   0.05   0.05     0.00  -0.03  -0.01    -0.03  -0.06  -0.00
  21   1     0.01   0.08   0.05     0.00  -0.03  -0.01    -0.03  -0.08   0.00
  22   1     0.06   0.02   0.06    -0.00  -0.02  -0.01    -0.07  -0.03  -0.02
  23   1     0.02  -0.03  -0.00     0.01  -0.01  -0.01     0.01   0.03   0.01
  24   1    -0.04   0.02   0.00     0.02  -0.02   0.00     0.04  -0.02   0.04
  25   1    -0.12   0.02   0.04    -0.00  -0.02   0.00    -0.10  -0.03  -0.00
  26   1     0.01  -0.10  -0.01    -0.00  -0.01   0.02     0.04  -0.15  -0.02
  27   1     0.02   0.22  -0.06    -0.01  -0.03  -0.01     0.07   0.18  -0.02
  28   1     0.05   0.14  -0.07    -0.02  -0.02  -0.00     0.12   0.06  -0.04
  29   1     0.15   0.10  -0.12    -0.01  -0.02  -0.00     0.21   0.06  -0.06
  30   1    -0.00   0.04   0.02    -0.00  -0.02  -0.04    -0.01  -0.01  -0.01
  31   1    -0.00   0.02   0.04    -0.02   0.02  -0.02    -0.01   0.01  -0.03
  32   1     0.05   0.05  -0.05    -0.00   0.02  -0.02    -0.06  -0.10   0.07
  33   1     0.01   0.01  -0.03    -0.02   0.00  -0.00    -0.00  -0.04   0.06
  34   1     0.07  -0.01   0.09     0.00  -0.01   0.05    -0.08  -0.00  -0.10
  35   1     0.11   0.02   0.07     0.02   0.00   0.03    -0.14  -0.06  -0.08
  36   1     0.12   0.05   0.04     0.03   0.01   0.03    -0.15  -0.09  -0.04
  37   1    -0.00  -0.01  -0.01     0.02   0.08   0.03     0.01   0.02   0.01
  38   1    -0.00  -0.03  -0.03     0.04   0.03   0.01     0.01   0.02   0.02
  39   1     0.02  -0.00  -0.03     0.08   0.05   0.01     0.00   0.01   0.02
  40   1     0.03  -0.01  -0.03     0.12   0.06   0.01     0.01   0.01   0.02
  41   1     0.03  -0.03  -0.04     0.10  -0.00  -0.01     0.01   0.01   0.03
                     10                     11                     12
                        a                      a                      a 
 Frequencies --    74.5787                81.6619                87.2582
 Red. masses --    15.0309                11.8354                13.0283
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.7517                 1.5703                 3.8902
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.10  -0.08  -0.05    -0.01  -0.03   0.00    -0.06  -0.35   0.04
   2   6    -0.06  -0.03  -0.01     0.01  -0.01   0.00     0.39   0.08   0.14
   3   8    -0.03   0.00   0.03     0.02   0.02   0.01     0.14   0.07  -0.12
   4  15    -0.10  -0.02  -0.03     0.02   0.03  -0.01     0.08  -0.03  -0.10
   5  16    -0.23   0.05  -0.10     0.03   0.02   0.06    -0.20   0.11  -0.05
   6   8    -0.07  -0.00  -0.02    -0.02   0.02  -0.03     0.15  -0.18  -0.09
   7   6    -0.06   0.02  -0.01    -0.02  -0.02  -0.02    -0.02  -0.02  -0.05
   8   6    -0.12  -0.04   0.00    -0.02  -0.03  -0.00    -0.11   0.03  -0.24
   9  16    -0.03  -0.05  -0.09     0.07   0.04  -0.07    -0.15  -0.04   0.15
  10   6    -0.01  -0.04   0.06     0.01   0.01  -0.02    -0.01   0.02   0.09
  11  16     0.07  -0.26   0.18    -0.02  -0.05  -0.03    -0.11   0.18   0.08
  12  15     0.01  -0.01  -0.01    -0.07   0.10  -0.12    -0.02   0.03   0.04
  13  16     0.10   0.22  -0.07     0.06   0.18  -0.16     0.10  -0.02   0.03
  14   8     0.02   0.02  -0.02    -0.03   0.10  -0.07    -0.10  -0.05   0.00
  15   6     0.02   0.02  -0.02     0.00  -0.08  -0.01    -0.09   0.05  -0.02
  16   6    -0.01   0.06  -0.02     0.32  -0.41   0.03     0.07  -0.04   0.08
  17   8    -0.11  -0.07  -0.08    -0.15   0.09  -0.08     0.04   0.02   0.03
  18   6     0.11   0.12   0.17    -0.09   0.12   0.18     0.03   0.01  -0.03
  19   6     0.62   0.09   0.11    -0.15  -0.18   0.44    -0.01   0.04  -0.05
  20   1    -0.03  -0.03  -0.02    -0.01  -0.02  -0.00     0.04  -0.11   0.06
  21   1    -0.02  -0.03  -0.02     0.00  -0.01  -0.00    -0.07  -0.24   0.06
  22   1    -0.04  -0.02  -0.02    -0.01  -0.01   0.01    -0.12  -0.05  -0.10
  23   1    -0.03   0.00   0.00    -0.00  -0.00   0.00     0.17   0.16  -0.01
  24   1    -0.00  -0.01  -0.00     0.01  -0.01  -0.00     0.21  -0.02   0.16
