 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF351       -64.671464          ---           -1981.452342       -0.017673        ---         -1981.470015          0.67                1.93         
CONF353       -64.671458          ---           -1981.455785       -0.013315        ---         -1981.469100          1.24                0.73         
CONF355       -64.671443          ---           -1981.447804       -0.015650        ---         -1981.463454          4.79                0.00         
CONF358       -64.671413          ---           -1981.452118       -0.013826        ---         -1981.465944          3.22                0.03         
CONF359       -64.671410          ---           -1981.452110       -0.013780        ---         -1981.465891          3.26                0.02         
CONF360       -64.671380          ---           -1981.452917       -0.016267        ---         -1981.469185          1.19                0.80         
CONF368       -64.671312          ---           -1981.453484       -0.017317        ---         -1981.470800          0.18                4.44         
CONF371       -64.671283          ---           -1981.447234       -0.016439        ---         -1981.463672          4.65                0.00         
CONF372       -64.671283          ---           -1981.453111       -0.017612        ---         -1981.470723          0.23                4.09         
CONF376       -64.671209          ---           -1981.454755       -0.014402        ---         -1981.469157          1.21                0.78         
CONF377       -64.671205          ---           -1981.451276       -0.017978        ---         -1981.469254          1.15                0.86         
CONF380       -64.671184          ---           -1981.454919       -0.013530        ---         -1981.468449          1.65                0.37         
CONF381       -64.671183          ---           -1981.454848       -0.013478        ---         -1981.468326          1.73                0.32         
CONF382       -64.671183          ---           -1981.455007       -0.013572        ---         -1981.468579          1.57                0.42         
CONF383       -64.671174          ---           -1981.453940       -0.014842        ---         -1981.468782          1.44                0.52         
CONF386       -64.671138          ---           -1981.454371       -0.013796        ---         -1981.468167          1.83                0.27         
CONF388       -64.671134          ---           -1981.455623       -0.014552        ---         -1981.470175          0.57                2.29         
CONF389       -64.671120          ---           -1981.453496       -0.015570        ---         -1981.469066          1.26                0.71         
CONF396       -64.671077          ---           -1981.455574       -0.014639        ---         -1981.470213          0.54                2.39         
CONF398       -64.671064          ---           -1981.452662       -0.015547        ---         -1981.468208          1.80                0.29         
CONF399       -64.671052          ---           -1981.453001       -0.013136        ---         -1981.466137          3.10                0.03         
CONF401       -64.671048          ---           -1981.452503       -0.015771        ---         -1981.468274          1.76                0.31         
CONF402       -64.671045          ---           -1981.447741       -0.017411        ---         -1981.465152          3.72                0.01         
CONF410       -64.670887          ---           -1981.452159       -0.014785        ---         -1981.466944          2.60                0.07         
CONF413       -64.670848          ---           -1981.447741       -0.016464        ---         -1981.464205          4.32                0.00         
CONF416       -64.670830          ---           -1981.450648       -0.016355        ---         -1981.467003          2.56                0.08         
CONF418       -64.670819          ---           -1981.447167       -0.016245        ---         -1981.463412          4.81                0.00         
CONF428       -64.670749          ---           -1981.446931       -0.016138        ---         -1981.463069          5.03                0.00         
CONF434       -64.670688          ---           -1981.449082       -0.014702        ---         -1981.463784          4.58                0.00         
CONF437       -64.670654          ---           -1981.455556       -0.015229        ---         -1981.470784          0.19                4.37         
CONF447       -64.670554          ---           -1981.451709       -0.015997        ---         -1981.467707          2.12                0.17         
CONF448       -64.670539          ---           -1981.448901       -0.014812        ---         -1981.463714          4.62                0.00         
CONF449       -64.670536          ---           -1981.451812       -0.014291        ---         -1981.466103          3.12                0.03         
CONF454       -64.670519          ---           -1981.454329       -0.014517        ---         -1981.468846          1.40                0.56         
CONF458       -64.670482          ---           -1981.450616       -0.016583        ---         -1981.467198          2.44                0.10         
CONF463       -64.670446          ---           -1981.447836       -0.017055        ---         -1981.464891          3.88                0.01         
CONF471       -64.670399          ---           -1981.454126       -0.014451        ---         -1981.468577          1.57                0.42         
CONF475       -64.670352          ---           -1981.452572       -0.014114        ---         -1981.466686          2.76                0.06         
CONF479       -64.670308          ---           -1981.452821       -0.013172        ---         -1981.465993          3.19                0.03         
CONF481       -64.670241          ---           -1981.452645       -0.013935        ---         -1981.466580          2.82                0.05         
CONF484       -64.670223          ---           -1981.452261       -0.015780        ---         -1981.468041          1.91                0.24         
CONF485       -64.670207          ---           -1981.452703       -0.014392        ---         -1981.467095          2.50                0.09         
CONF486       -64.670199          ---           -1981.452924       -0.014473        ---         -1981.467396          2.31                0.12         
CONF489       -64.670165          ---           -1981.448001       -0.015682        ---         -1981.463683          4.64                0.00         
CONF494       -64.670124          ---           -1981.454273       -0.013229        ---         -1981.467502          2.25                0.14         
CONF495       -64.670124          ---           -1981.450914       -0.017375        ---         -1981.468290          1.75                0.31         
CONF496       -64.670122          ---           -1981.450872       -0.017405        ---         -1981.468277          1.76                0.31         
CONF497       -64.670112          ---           -1981.453412       -0.015917        ---         -1981.469329          1.10                0.94         
CONF504       -64.670057          ---           -1981.453857       -0.013998        ---         -1981.467855          2.02                0.20         
CONF506       -64.670006          ---           -1981.448850       -0.015444        ---         -1981.464294          4.26                0.00         
CONF508       -64.669980          ---           -1981.449466       -0.014411        ---         -1981.463878          4.52                0.00         
CONF510       -64.669964          ---           -1981.449395       -0.020276        ---         -1981.469670          0.89                1.34         
CONF511       -64.669953          ---           -1981.449722       -0.019994        ---         -1981.469716          0.86                1.41         
CONF512       -64.669941          ---           -1981.452590       -0.015116        ---         -1981.467706          2.12                0.17         
CONF513       -64.669934          ---           -1981.452556       -0.013798        ---         -1981.466354          2.97                0.04         
CONF514       -64.669922          ---           -1981.452944       -0.013945        ---         -1981.466888          2.63                0.07         
CONF515       -64.669921          ---           -1981.450527       -0.017833        ---         -1981.468360          1.71                0.34         
CONF516       -64.669916          ---           -1981.451640       -0.018888        ---         -1981.470528          0.35                3.33         
CONF520       -64.669840          ---           -1981.449601       -0.012121        ---         -1981.461722          5.87                0.00         
CONF523       -64.669825          ---           -1981.451574       -0.018713        ---         -1981.470288          0.50                2.58         
CONF524       -64.669824          ---           -1981.451520       -0.018696        ---         -1981.470216          0.54                2.39         
CONF525       -64.669821          ---           -1981.449515       -0.020183        ---         -1981.469698          0.87                1.38         
CONF530       -64.669780          ---           -1981.448176       -0.016221        ---         -1981.464398          4.19                0.01         
CONF531       -64.669760          ---           -1981.455655       -0.013634        ---         -1981.469289          1.13                0.90         
CONF536       -64.669670          ---           -1981.455069       -0.012995        ---         -1981.468063          1.89                0.24         
CONF537       -64.669639          ---           -1981.448239       -0.016178        ---         -1981.464416          4.18                0.01         
CONF549       -64.669569          ---           -1981.455202       -0.012878        ---         -1981.468079          1.88                0.25         
CONF550       -64.669558          ---           -1981.455297       -0.012902        ---         -1981.468199          1.81                0.28         
CONF552       -64.669548          ---           -1981.448675       -0.021394        ---         -1981.470069          0.64                2.05         
CONF555       -64.669528          ---           -1981.454220       -0.013676        ---         -1981.467895          2.00                0.20         
CONF562       -64.669408          ---           -1981.450552       -0.015836        ---         -1981.466388          2.95                0.04         
CONF563       -64.669408          ---           -1981.450531       -0.015842        ---         -1981.466373          2.95                0.04         
CONF565       -64.669395          ---           -1981.451017       -0.019437        ---         -1981.470454          0.39                3.08         
CONF568       -64.669362          ---           -1981.453718       -0.014954        ---         -1981.468672          1.51                0.47         
CONF572       -64.669290          ---           -1981.453602       -0.014922        ---         -1981.468525          1.60                0.40         
CONF574       -64.669247          ---           -1981.454882       -0.014367        ---         -1981.469250          1.15                0.86         
CONF576       -64.669215          ---           -1981.451812       -0.015645        ---         -1981.467456          2.27                0.13         
CONF582       -64.669129          ---           -1981.454495       -0.013189        ---         -1981.467684          2.13                0.16         
CONF583       -64.669119          ---           -1981.453534       -0.015716        ---         -1981.469251          1.15                0.86         
CONF585       -64.669100          ---           -1981.450538       -0.020094        ---         -1981.470632          0.28                3.72         
CONF586       -64.669099          ---           -1981.455274       -0.013557        ---         -1981.468831          1.41                0.55         
CONF590       -64.669075          ---           -1981.451969       -0.015532        ---         -1981.467501          2.25                0.13         
CONF592       -64.669058          ---           -1981.449400       -0.015719        ---         -1981.465119          3.74                0.01         
CONF593       -64.669046          ---           -1981.449828       -0.015615        ---         -1981.465443          3.54                0.02         
CONF595       -64.669011          ---           -1981.454783       -0.013185        ---         -1981.467968          1.95                0.22         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15       -1981.4535993   -1981.4699759     <<==part1==
----------------------------------------------------------------------------------------------------

 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF83        -64.676226          ---           -1981.446113       -0.016003        ---         -1981.462116          5.63                0.00         
CONF88        -64.676120          ---           -1981.445743       -0.016111        ---         -1981.461855          5.79                0.00         
CONF96        -64.675907          ---           -1981.446425       -0.016289        ---         -1981.462714          5.25                0.00         
CONF98        -64.675800          ---           -1981.445900       -0.016493        ---         -1981.462393          5.45                0.00         
CONF105       -64.675633          ---           -1981.445821       -0.017092        ---         -1981.462912          5.13                0.00         
CONF112       -64.675501          ---           -1981.445557       -0.017186        ---         -1981.462743          5.23                0.00         
CONF117       -64.675405          ---           -1981.445072       -0.016603        ---         -1981.461675          5.90                0.00         
CONF121       -64.675326          ---           -1981.445863       -0.017046        ---         -1981.462909          5.13                0.00         
CONF125       -64.675215          ---           -1981.444578       -0.016638        ---         -1981.461216          6.19                0.00         
CONF126       -64.675163          ---           -1981.447473       -0.015292        ---         -1981.462765          5.22                0.00         
CONF127       -64.675160          ---           -1981.447627       -0.015367        ---         -1981.462994          5.08                0.00         
CONF130       -64.675060          ---           -1981.445163       -0.017706        ---         -1981.462869          5.15                0.00         
CONF157       -64.674213          ---           -1981.451545       -0.013832        ---         -1981.465377          3.58                0.01         
CONF158       -64.674209          ---           -1981.450879       -0.013791        ---         -1981.464670          4.02                0.01         
