 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF348       -64.649861          2.98          -1979.018016          4.36           -13.567221        -1979.039637          2.58                0.05         
CONF349       -64.649329          3.31          -1979.015723          5.80           -13.899308        -1979.037873          3.69                0.01         
CONF350       -64.647810          4.27          -1979.019973          3.13           -14.847787        -1979.043634          0.07                3.16         
CONF351       -64.647826          4.26          -1979.020054          3.08           -14.833208        -1979.043693          0.04                3.37         
CONF353       -64.653333          0.80          -1979.021510          2.16           -11.373651        -1979.039635          2.58                0.05         
CONF355       -64.649719          3.07          -1979.016196          5.50           -13.631914        -1979.037920          3.66                0.01         
CONF358       -64.651694          1.83          -1979.020257          2.95           -12.374067        -1979.039976          2.37                0.07         
CONF359       -64.651705          1.82          -1979.020287          2.93           -12.365202        -1979.039992          2.36                0.07         
CONF360       -64.649054          3.49          -1979.020939          2.52           -14.010240        -1979.043266          0.30                2.14         
CONF368       -64.648722          3.69          -1979.020746          2.64           -14.175481        -1979.043336          0.26                2.31         
CONF371       -64.648748          3.68          -1979.015029          6.23           -14.140643        -1979.037563          3.88                0.01         
CONF372       -64.648554          3.80          -1979.020393          2.86           -14.262219        -1979.043121          0.39                1.84         
CONF376       -64.651439          1.99          -1979.019634          3.34           -12.405833        -1979.039404          2.73                0.04         
CONF377       -64.647145          4.68          -1979.019471          3.44           -15.098081        -1979.043531          0.14                2.84         
CONF380       -64.651321          2.06          -1979.023763          0.75           -12.464383        -1979.043626          0.08                3.14         
CONF381       -64.651346          2.05          -1979.023668          0.81           -12.447894        -1979.043505          0.15                2.76         
CONF382       -64.651304          2.07          -1979.023866          0.69           -12.473800        -1979.043744          0.00                3.55         
CONF383       -64.651498          1.95          -1979.022960          1.25           -12.346815        -1979.042636          0.70                1.10         
CONF386       -64.651005          2.26          -1979.023615          0.84           -12.634086        -1979.043749          0.00                3.57         
CONF388       -64.651527          1.93          -1979.020082          3.06           -12.303759        -1979.039690          2.55                0.05         
CONF389       -64.651008          2.26          -1979.022271          1.69           -12.620171        -1979.042383          0.86                0.84         
CONF396       -64.651403          2.01          -1979.020062          3.07           -12.345770        -1979.039736          2.52                0.05         
CONF398       -64.650952          2.30          -1979.021954          1.89           -12.620056        -1979.042065          1.06                0.60         
CONF399       -64.652548          1.29          -1979.022810          1.35           -11.611147        -1979.041313          1.53                0.27         
CONF401       -64.650825          2.38          -1979.021992          1.86           -12.690617        -1979.042216          0.96                0.70         
CONF402       -64.648337          3.94          -1979.015234          6.10           -14.249181        -1979.037942          3.64                0.01         
CONF410       -64.649993          2.90          -1979.019433          3.47           -13.111201        -1979.040327          2.15                0.10         
CONF413       -64.648825          3.63          -1979.015924          5.67           -13.819855        -1979.037947          3.64                0.01         
CONF416       -64.648409          3.89          -1979.017050          4.96           -14.069402        -1979.039471          2.68                0.04         
CONF418       -64.648653          3.74          -1979.015649          5.84           -13.909436        -1979.037816          3.72                0.01         
CONF428       -64.648742          3.68          -1979.015612          5.87           -13.809651        -1979.037619          3.85                0.01         
CONF434       -64.649900          2.96          -1979.018222          4.23           -13.044380        -1979.039009          2.97                0.02         
CONF437       -64.650595          2.52          -1979.019639          3.34           -12.587155        -1979.039698          2.54                0.05         
CONF447       -64.648568          3.79          -1979.018259          4.20           -13.796386        -1979.040245          2.20                0.09         
CONF448       -64.649731          3.06          -1979.018217          4.23           -13.057360        -1979.039026          2.96                0.02         
CONF449       -64.651223          2.13          -1979.019023          3.72           -12.118721        -1979.038335          3.40                0.01         
CONF454       -64.649990          2.90          -1979.022594          1.48           -12.882157        -1979.043123          0.39                1.84         
CONF458       -64.648266          3.98          -1979.018068          4.32           -13.940904        -1979.040284          2.17                0.09         
CONF463       -64.647852          4.24          -1979.015918          5.67           -14.177838        -1979.038512          3.29                0.01         
CONF471       -64.649530          3.19          -1979.022272          1.69           -13.095647        -1979.043142          0.38                1.88         
CONF475       -64.649781          3.03          -1979.021697          2.05           -12.908181        -1979.042267          0.93                0.74         
CONF479       -64.652141          1.55          -1979.022424          1.59           -11.399743        -1979.040590          1.98                0.13         
CONF481       -64.649841          2.99          -1979.021641          2.08           -12.801127        -1979.042041          1.07                0.58         
CONF484       -64.649816          3.01          -1979.021041          2.46           -12.805462        -1979.041448          1.44                0.31         
CONF485       -64.650579          2.53          -1979.021381          2.25           -12.316813        -1979.041009          1.72                0.20         
CONF486       -64.650661          2.48          -1979.021513          2.16           -12.260289        -1979.041051          1.69                0.21         
CONF489       -64.648528          3.82          -1979.016691          5.19           -13.577096        -1979.038328          3.40                0.01         
CONF494       -64.652047          1.61          -1979.023565          0.87           -11.343520        -1979.041642          1.32                0.38         
CONF495       -64.647534          4.44          -1979.017458          4.71           -14.175333        -1979.040048          2.32                0.07         
CONF496       -64.647520          4.45          -1979.017409          4.74           -14.182586        -1979.040011          2.35                0.07         
CONF497       -64.649630          3.12          -1979.021474          2.19           -12.852553        -1979.041956          1.13                0.53         
CONF504       -64.649998          2.89          -1979.021987          1.87           -12.587482        -1979.042046          1.07                0.59         
CONF506       -64.648838          3.62          -1979.017592          4.62           -13.283324        -1979.038760          3.13                0.02         
CONF508       -64.649992          2.90          -1979.018842          3.84           -12.542534        -1979.038830          3.09                0.02         
CONF510       -64.644959          6.06          -1979.014785          6.38           -15.691381        -1979.039791          2.48                0.05         
CONF511       -64.645045          6.00          -1979.015187          6.13           -15.629781        -1979.040094          2.29                0.07         
CONF512       -64.649786          3.03          -1979.020518          2.79           -12.647227        -1979.040672          1.93                0.14         
CONF513       -64.651336          2.05          -1979.022126          1.78           -11.670368        -1979.040724          1.90                0.14         
CONF514       -64.651345          2.05          -1979.022488          1.55           -11.657398        -1979.041065          1.68                0.21         
CONF515       -64.646881          4.85          -1979.016987          5.00           -14.457634        -1979.040026          2.34                0.07         
CONF516       -64.645394          5.78          -1979.017035          4.97           -15.388139        -1979.041557          1.38                0.35         
CONF520       -64.651729          1.81          -1979.019498          3.43           -11.364981        -1979.037610          3.85                0.01         
CONF523       -64.645469          5.74          -1979.017194          4.87           -15.283997        -1979.041550          1.38                0.35         
CONF524       -64.645463          5.74          -1979.017151          4.90           -15.287146        -1979.041512          1.40                0.33         
CONF525       -64.644998          6.03          -1979.014737          6.41           -15.576691        -1979.039560          2.63                0.04         
CONF530       -64.647968          4.17          -1979.016755          5.15           -13.687563        -1979.038568          3.25                0.01         
CONF531       -64.651383          2.02          -1979.024565          0.25           -11.531370        -1979.042942          0.51                1.52         
CONF536       -64.651724          1.81          -1979.024575          0.24           -11.261238        -1979.042521          0.77                0.97         
CONF537       -64.647930          4.19          -1979.016691          5.19           -13.623015        -1979.038400          3.36                0.01         
