 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  39   1    -0.02  -0.01   0.01     0.01   0.02   0.04    -0.00   0.00  -0.02
  40   1    -0.02  -0.02   0.01    -0.01   0.01   0.03     0.01   0.01  -0.02
  41   1    -0.03  -0.01   0.02    -0.01   0.01   0.05     0.00   0.01  -0.03
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    60.1865                66.9242                68.8324
 Red. masses --    18.6888                20.9792                17.6154
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.6630                 5.6156                 7.5752
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.02   0.13  -0.16    -0.12  -0.04  -0.20     0.00  -0.33   0.02
   2   6     0.03   0.04  -0.11    -0.01  -0.01  -0.20    -0.03  -0.18  -0.08
   3   8     0.14  -0.10  -0.10     0.05   0.04  -0.13    -0.06  -0.07  -0.04
   4  15     0.17  -0.17   0.03     0.03   0.16   0.03    -0.11   0.04   0.02
   5  16     0.03  -0.23   0.06     0.02   0.24   0.16    -0.10   0.22   0.27
   6   8     0.21  -0.07   0.07     0.15   0.16   0.08    -0.03  -0.03   0.03
   7   6     0.21  -0.04   0.07     0.08   0.06   0.00     0.10   0.04   0.04
   8   6     0.21   0.01   0.04     0.17  -0.07  -0.03     0.06   0.19   0.01
   9  16    -0.00  -0.20   0.14    -0.09   0.09   0.21    -0.12   0.12  -0.17
  10   6     0.01   0.04   0.06    -0.06  -0.06   0.12    -0.08  -0.02  -0.08
  11  16    -0.02   0.25   0.11    -0.15  -0.21   0.14    -0.08  -0.06  -0.11
  12  15    -0.13   0.16  -0.04    -0.04  -0.15   0.01     0.03   0.03   0.07
  13  16    -0.04   0.25  -0.01     0.39  -0.16  -0.06     0.16   0.28   0.16
  14   8    -0.21   0.11   0.04    -0.08  -0.15   0.07    -0.02  -0.02   0.11
  15   6    -0.22   0.09   0.04     0.01  -0.11   0.05     0.07  -0.00  -0.04
  16   6    -0.24   0.04   0.03     0.03  -0.03   0.05     0.04   0.10  -0.23
  17   8    -0.11   0.02  -0.11    -0.15   0.01  -0.14     0.02  -0.02   0.01
  18   6     0.02  -0.10  -0.11    -0.15   0.08  -0.19     0.12  -0.17   0.05
  19   6    -0.06  -0.23  -0.14    -0.12   0.16  -0.14     0.09  -0.32  -0.12
  20   1     0.03   0.04  -0.07    -0.04  -0.01  -0.06    -0.01  -0.09   0.04
  21   1    -0.00   0.03  -0.03    -0.04  -0.01  -0.04     0.01  -0.11  -0.00
  22   1    -0.01   0.06  -0.05    -0.04  -0.02  -0.07     0.01  -0.12   0.00
  23   1    -0.02   0.01  -0.01    -0.00  -0.00  -0.06    -0.00  -0.06  -0.06
  24   1     0.01   0.02  -0.04     0.01  -0.01  -0.08    -0.01  -0.04  -0.02
  25   1     0.06  -0.02   0.02     0.03   0.03   0.01     0.04  -0.01   0.02
  26   1     0.07  -0.01   0.02    -0.00   0.02  -0.02     0.05   0.02   0.02
  27   1     0.06   0.01   0.01     0.04  -0.03  -0.02     0.01   0.07   0.00
