 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  39   1    -0.05  -0.02   0.01     0.06  -0.00  -0.01     0.02  -0.02   0.02
  40   1    -0.05  -0.02   0.01     0.08  -0.02  -0.01     0.01  -0.02   0.00
  41   1    -0.05  -0.02   0.01     0.04  -0.02  -0.02     0.01  -0.01   0.00
                      4                      5                      6
                        a                      a                      a 
 Frequencies --    58.0801                67.3071                71.2150
 Red. masses --    20.4365                19.2902                18.3643
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.5153                10.8552                 4.5249
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.10   0.17   0.05     0.10  -0.07   0.06    -0.02  -0.05   0.04
   2   6    -0.10   0.14  -0.04     0.10  -0.09   0.00    -0.01  -0.07   0.02
   3   8    -0.14   0.09  -0.07     0.08  -0.13   0.02    -0.05  -0.08   0.04
   4  15    -0.13  -0.04  -0.05    -0.05  -0.13  -0.02     0.01   0.13   0.03
   5  16     0.04  -0.17   0.26    -0.35  -0.04  -0.15     0.32   0.19  -0.28
   6   8    -0.10  -0.14  -0.18    -0.02   0.02   0.12    -0.12   0.05   0.12
   7   6    -0.11  -0.12  -0.09    -0.04   0.10   0.14    -0.06  -0.10   0.05
   8   6    -0.08  -0.01  -0.05    -0.02   0.16   0.17    -0.08  -0.19   0.02
   9  16    -0.20   0.10  -0.07    -0.05  -0.19  -0.15    -0.03   0.27   0.12
  10   6     0.01   0.06   0.05     0.04  -0.10  -0.06    -0.06   0.14   0.06
  11  16     0.02   0.41   0.14     0.08   0.14  -0.13    -0.09   0.03  -0.03
  12  15     0.16   0.03  -0.01     0.09   0.14  -0.12     0.04  -0.06  -0.06
  13  16     0.14   0.02  -0.14     0.07   0.13  -0.30     0.13  -0.12   0.07
  14   8     0.10  -0.05  -0.13     0.05   0.09   0.01     0.04  -0.03  -0.09
  15   6    -0.02  -0.12  -0.05     0.02  -0.05   0.22    -0.05  -0.19   0.15
  16   6    -0.09  -0.23  -0.00    -0.11  -0.08   0.41    -0.15  -0.21   0.31
  17   8     0.20  -0.08   0.13     0.02   0.10  -0.08     0.05  -0.02  -0.07
  18   6     0.17  -0.07   0.11     0.08   0.04   0.04    -0.02   0.04  -0.18
  19   6     0.20  -0.11   0.08    -0.01  -0.05   0.11     0.04   0.15  -0.23
  20   1    -0.02   0.06   0.02     0.03  -0.01   0.02    -0.00  -0.02   0.01
  21   1    -0.04   0.04   0.03     0.02  -0.02   0.02    -0.02  -0.02   0.01
  22   1    -0.03   0.06   0.02     0.03  -0.01   0.02    -0.00  -0.01   0.02
  23   1    -0.02   0.05  -0.02     0.04  -0.02  -0.00     0.01  -0.02   0.00
  24   1    -0.03   0.03  -0.02     0.03  -0.03  -0.01    -0.01  -0.02  -0.00
  25   1    -0.04  -0.05  -0.01    -0.03   0.03   0.04     0.02  -0.03   0.01
  26   1    -0.03  -0.05  -0.04    -0.00   0.03   0.04    -0.04  -0.04   0.01
  27   1    -0.03   0.01   0.00    -0.01   0.04   0.05    -0.01  -0.05   0.01
  28   1    -0.03   0.00  -0.00    -0.01   0.06   0.06    -0.02  -0.08  -0.01
  29   1    -0.01   0.01  -0.03     0.01   0.05   0.04    -0.05  -0.05   0.01
  30   1     0.03   0.01   0.03     0.04  -0.04  -0.00    -0.03   0.04   0.02
  31   1     0.00  -0.00   0.01    -0.00  -0.05  -0.02    -0.02   0.04   0.02
  32   1     0.01  -0.05  -0.02     0.05  -0.06   0.06     0.02  -0.10   0.04
  33   1    -0.03  -0.01  -0.01    -0.02   0.01   0.06    -0.04  -0.03   0.06
  34   1    -0.04  -0.08   0.01    -0.03  -0.04   0.15    -0.05  -0.08   0.13
  35   1    -0.04  -0.05  -0.00    -0.07   0.01   0.12    -0.07  -0.02   0.09
  36   1    -0.00  -0.09   0.00    -0.01  -0.04   0.13    -0.02  -0.08   0.08
  37   1     0.05  -0.02   0.04     0.03   0.02   0.01    -0.02   0.00  -0.06
  38   1     0.04  -0.01   0.03     0.04   0.01   0.02    -0.02   0.00  -0.06
  39   1     0.06  -0.03   0.03    -0.02  -0.02   0.02     0.03   0.06  -0.06
  40   1     0.06  -0.04   0.02     0.01  -0.02   0.05     0.00   0.05  -0.09
  41   1     0.05  -0.03   0.01    -0.01  -0.02   0.04     0.02   0.05  -0.06
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    76.6276                72.7396                81.0432
 Red. masses --    17.0842                15.2488                14.8870
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.5115                 8.6865                 2.0837
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.09  -0.14  -0.17     0.42   0.03   0.05     0.20   0.16   0.14
   2   6     0.02  -0.12   0.03     0.18   0.13   0.02    -0.03   0.21  -0.01
   3   8     0.13   0.11   0.10     0.02   0.01   0.07    -0.17  -0.04  -0.07
   4  15     0.02   0.13   0.11    -0.08   0.04   0.08    -0.05  -0.01  -0.07
   5  16    -0.03   0.10   0.25    -0.30   0.12  -0.03     0.21  -0.00  -0.22
   6   8    -0.06   0.07   0.14    -0.06   0.07   0.12    -0.04  -0.05  -0.13
   7   6     0.04  -0.06  -0.08     0.06  -0.06  -0.17    -0.07  -0.04   0.02
   8   6    -0.08  -0.28  -0.21    -0.11  -0.25  -0.34     0.03   0.02   0.11
   9  16    -0.00   0.11  -0.21    -0.02  -0.05   0.13    -0.04   0.04   0.20
  10   6    -0.07  -0.03  -0.06     0.01   0.01   0.05    -0.11   0.07  -0.00
  11  16    -0.11  -0.15  -0.20     0.02   0.11   0.10    -0.17  -0.13  -0.14
  12  15     0.03   0.09  -0.10    -0.03  -0.06   0.03    -0.08  -0.02  -0.09
  13  16     0.05   0.16   0.21    -0.20   0.06  -0.19    -0.03  -0.03   0.08
  14   8     0.03   0.09  -0.11    -0.05  -0.12   0.07    -0.03   0.08  -0.07
  15   6     0.01   0.02  -0.02     0.03  -0.07   0.05     0.10   0.06   0.06
  16   6    -0.07  -0.03   0.08     0.09   0.06   0.02     0.12   0.25   0.14
  17   8     0.05   0.11  -0.12     0.05  -0.07   0.07    -0.04   0.02  -0.10
  18   6     0.19  -0.04   0.07     0.03  -0.05  -0.03     0.17  -0.16   0.06
  19   6    -0.01  -0.23   0.25     0.12   0.01  -0.10     0.05  -0.39   0.14
  20   1    -0.05  -0.08  -0.05     0.15   0.03   0.01     0.09   0.09   0.04
  21   1    -0.02  -0.02  -0.07     0.15   0.01   0.01     0.08   0.03   0.05
  22   1    -0.03  -0.03  -0.06     0.12  -0.04   0.02     0.06   0.01   0.05
  23   1     0.02  -0.07   0.04     0.03   0.04   0.01    -0.04   0.08  -0.03
  24   1     0.01  -0.05   0.01     0.05   0.09  -0.01    -0.00   0.10  -0.01
  25   1     0.06  -0.00  -0.05     0.08  -0.01  -0.07    -0.04  -0.02   0.02
  26   1     0.00  -0.01  -0.01     0.02  -0.02  -0.05    -0.03  -0.02   0.00
  27   1    -0.01  -0.09  -0.08    -0.02  -0.07  -0.10     0.01   0.01   0.03
  28   1    -0.01  -0.11  -0.10    -0.01  -0.10  -0.14    -0.00   0.01   0.06
  29   1    -0.07  -0.10  -0.04    -0.09  -0.08  -0.08     0.03   0.01   0.02
  30   1    -0.03   0.00   0.00     0.01  -0.00   0.01    -0.04   0.02  -0.02
  31   1    -0.03  -0.03  -0.02     0.00   0.01   0.02    -0.04   0.05   0.00
  32   1     0.03  -0.01  -0.00    -0.01  -0.02   0.01     0.03  -0.01   0.01
  33   1    -0.01   0.02  -0.01     0.03  -0.04   0.02     0.05  -0.00   0.03
  34   1    -0.02  -0.01   0.03     0.04   0.02   0.01     0.06   0.07   0.07
  35   1    -0.05  -0.01   0.02     0.04   0.02   0.01     0.03   0.09   0.04
  36   1    -0.01  -0.02   0.04     0.01   0.03  -0.01     0.01   0.09   0.03
  37   1     0.08   0.01   0.00     0.01  -0.01  -0.00     0.09  -0.02   0.01
  38   1     0.10  -0.02   0.04    -0.01  -0.02  -0.02     0.08  -0.05   0.03
  39   1    -0.06  -0.07   0.04     0.06   0.01  -0.02    -0.01  -0.11   0.03
  40   1     0.02  -0.08   0.12     0.03   0.01  -0.05     0.05  -0.14   0.07
  41   1    -0.02  -0.08   0.08     0.04   0.00  -0.03    -0.01  -0.13   0.04
                     10                     11                     12
                        a                      a                      a 
 Frequencies --    77.7034                80.9449                90.8138
 Red. masses --    13.2060                12.4553                12.4719
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     6.5854                 1.2426                 1.8359
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
