 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
 IR Inten    --     5.8995                 2.1277                 0.7331
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.08   0.11   0.11    -0.12  -0.05   0.12    -0.15   0.09   0.35
   2   6     0.09   0.10   0.14    -0.11  -0.02  -0.05    -0.12   0.10   0.09
   3   8     0.10   0.07   0.11    -0.05   0.05  -0.10    -0.02   0.18  -0.02
   4   6     0.02   0.03   0.05    -0.06   0.03  -0.09    -0.16   0.03  -0.05
   5   8    -0.04   0.06   0.06    -0.15  -0.05  -0.09    -0.41  -0.12  -0.03
   6   6     0.03  -0.03  -0.01     0.00   0.11  -0.09    -0.10   0.07  -0.08
   7   6    -0.00   0.01  -0.07    -0.01   0.04  -0.06    -0.07   0.05  -0.03
   8   1     0.02   0.02  -0.03    -0.02   0.00  -0.01    -0.04   0.00   0.00
   9   6    -0.00  -0.07  -0.01    -0.06   0.04  -0.03     0.01   0.07  -0.09
  10   8    -0.04  -0.01   0.01    -0.06   0.06   0.05    -0.04   0.10  -0.22
  11   8     0.06  -0.21   0.02    -0.15   0.02  -0.08     0.17   0.02  -0.03
  12   6     0.08  -0.25   0.06    -0.23  -0.01  -0.00     0.29  -0.08  -0.03
  13   6     0.09  -0.31  -0.00    -0.43  -0.05   0.08     0.25  -0.18  -0.10
  14  16    -0.23   0.08  -0.35     0.15  -0.05  -0.04     0.15   0.01   0.20
  15  15    -0.04   0.12  -0.06     0.27   0.01   0.09     0.03  -0.06   0.03
  16  16    -0.22   0.02  -0.27     0.30  -0.11  -0.21     0.06  -0.08  -0.01
  17   8    -0.04   0.05   0.22     0.16   0.03   0.21     0.04  -0.06  -0.05
  18   6    -0.12  -0.09   0.25     0.07  -0.02   0.22     0.10  -0.02  -0.08
  19   8     0.19   0.19  -0.05     0.23   0.13   0.08    -0.05  -0.01   0.03
  20   6     0.16   0.07   0.03    -0.01  -0.05   0.01    -0.09  -0.02  -0.02
  21   1     0.03   0.04   0.04    -0.05  -0.02   0.04    -0.06   0.01   0.12
  22   1     0.02   0.03   0.03    -0.01   0.00   0.05    -0.00   0.05   0.12
  23   1     0.02   0.04   0.03    -0.05  -0.02   0.04    -0.07   0.01   0.11
  24   1     0.02   0.04   0.04    -0.06  -0.02  -0.03    -0.08   0.01   0.00
  25   1     0.03   0.02   0.05    -0.02   0.01  -0.02    -0.00   0.04   0.02
  26   1     0.02  -0.02   0.00     0.01   0.05  -0.05    -0.03   0.03  -0.03
  27   1     0.01  -0.02  -0.01     0.01   0.04  -0.00    -0.02   0.02  -0.02
  28   1     0.02  -0.07   0.02    -0.04  -0.02   0.03     0.10  -0.04  -0.01
  29   1     0.03  -0.08   0.03    -0.07   0.01  -0.03     0.11  -0.00   0.01
  30   1     0.03  -0.10   0.00    -0.14  -0.02   0.04     0.09  -0.07  -0.02
  31   1     0.03  -0.09  -0.00    -0.15  -0.00  -0.01     0.06  -0.04  -0.03
  32   1     0.02  -0.09  -0.01    -0.12  -0.03   0.05     0.05  -0.07  -0.04
  33   1    -0.04  -0.03   0.07     0.01  -0.01   0.06     0.04  -0.00  -0.02
  34   1    -0.06  -0.04   0.05     0.02  -0.01   0.05     0.04  -0.00  -0.02
  35   1    -0.02  -0.03   0.10     0.02  -0.00   0.08     0.02  -0.00  -0.04
  36   1     0.05   0.00   0.02     0.01  -0.05  -0.04    -0.03  -0.01  -0.02
  37   1     0.02   0.02   0.03    -0.03  -0.01   0.02    -0.02  -0.01  -0.00
  38   1     0.06   0.01   0.00    -0.03  -0.01   0.01    -0.04  -0.01   0.00
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    81.7164                95.2063                79.8369
 Red. masses --    14.5953                13.7841                11.3642
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     5.6747                 5.1970                 0.8773
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.02   0.05  -0.05     0.26  -0.27  -0.06    -0.13   0.15   0.17
   2   6     0.07  -0.03  -0.00     0.11  -0.05  -0.12    -0.03   0.05  -0.03
   3   8     0.00  -0.15  -0.00     0.25   0.19  -0.06    -0.04  -0.03  -0.11
   4   6     0.05  -0.06  -0.02     0.07  -0.06   0.04     0.01   0.05  -0.14
   5   8     0.18   0.08  -0.05    -0.07  -0.35   0.08     0.12   0.20  -0.18
   6   6    -0.01  -0.14  -0.03     0.07  -0.01   0.06    -0.08  -0.04  -0.10
   7   6     0.04  -0.03  -0.06    -0.01  -0.02  -0.02    -0.01  -0.04  -0.01
   8   1     0.02  -0.02  -0.03    -0.00  -0.03  -0.03    -0.01   0.01   0.02
   9   6     0.07  -0.01  -0.10    -0.13   0.12  -0.07     0.09  -0.12   0.00
  10   8     0.12  -0.05  -0.11    -0.29   0.30  -0.14     0.13  -0.17  -0.01
  11   8     0.04   0.03  -0.14    -0.05  -0.01  -0.03     0.12  -0.12   0.01
  12   6     0.05  -0.08  -0.06    -0.03  -0.05  -0.00     0.06  -0.07  -0.00
  13   6    -0.15  -0.21  -0.05    -0.15  -0.12   0.00    -0.26  -0.04   0.21
  14  16     0.01   0.16   0.16     0.01   0.02   0.09    -0.02  -0.04   0.03
  15  15     0.00   0.21   0.10    -0.02   0.03   0.05    -0.05  -0.05   0.02
  16  16    -0.19   0.21   0.11    -0.18   0.06   0.13    -0.11   0.01   0.18
  17   8     0.06   0.05   0.06     0.03  -0.04  -0.02     0.00  -0.08  -0.05
  18   6     0.21  -0.21  -0.01     0.12  -0.08  -0.07     0.11  -0.11  -0.11
  19   8    -0.04   0.21   0.08    -0.06   0.06   0.04    -0.09  -0.01   0.02
  20   6    -0.42  -0.18   0.01     0.10   0.27  -0.01     0.24   0.41  -0.04
  21   1     0.02   0.03  -0.01     0.05  -0.13  -0.03    -0.04   0.05   0.07
  22   1    -0.00   0.02  -0.02     0.09  -0.08  -0.01    -0.01   0.07   0.07
  23   1    -0.01   0.01  -0.02     0.11  -0.08   0.00    -0.08   0.03   0.05
  24   1     0.03  -0.01   0.00     0.02  -0.02  -0.04    -0.03  -0.01  -0.03
  25   1     0.03  -0.01   0.00    -0.01  -0.01  -0.05     0.03   0.03  -0.01
  26   1    -0.01  -0.06   0.02     0.03  -0.00   0.01    -0.04  -0.02  -0.01
  27   1    -0.01  -0.06  -0.04     0.02  -0.00   0.02    -0.04  -0.01  -0.05
  28   1     0.05  -0.04   0.01     0.01  -0.03   0.01     0.07  -0.07   0.01
  29   1     0.02   0.00  -0.03    -0.00   0.00  -0.01     0.03   0.04  -0.06
  30   1    -0.05  -0.09   0.00    -0.04  -0.05   0.01    -0.10   0.00   0.06
  31   1    -0.08  -0.04  -0.05    -0.06  -0.02  -0.01    -0.12   0.03   0.04
  32   1    -0.05  -0.08  -0.00    -0.05  -0.05   0.01    -0.07  -0.05   0.12
  33   1     0.11  -0.06   0.03     0.06  -0.02  -0.00     0.06  -0.03  -0.02
  34   1     0.03  -0.08  -0.04     0.03  -0.03  -0.03     0.03  -0.04  -0.04
  35   1     0.07  -0.09  -0.02     0.03  -0.03  -0.04     0.03  -0.04  -0.05
