 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF209        -65.028587          ---           -2932.456243       -0.010938        ---         -2932.467181          6.52                0.00         
CONF211        -65.028574          ---           -2932.457657       -0.008137        ---         -2932.465794          7.39                0.00         
CONF213        -65.028564          ---           -2932.462546       -0.008953        ---         -2932.471499          3.81                0.02         
CONF214        -65.028558          ---           -2932.457884       -0.008001        ---         -2932.465884          7.33                0.00         
CONF218        -65.028525          ---           -2932.461750       -0.007190        ---         -2932.468940          5.42                0.00         
CONF223        -65.028435          ---           -2932.458498       -0.011205        ---         -2932.469703          4.94                0.00         
CONF225        -65.028402          ---           -2932.458561       -0.009316        ---         -2932.467877          6.08                0.00         
CONF230        -65.028386          ---           -2932.458413       -0.010092        ---         -2932.468505          5.69                0.00         
CONF231        -65.028384          ---           -2932.458363       -0.010055        ---         -2932.468418          5.74                0.00         
CONF236        -65.028330          ---           -2932.464584       -0.008694        ---         -2932.473279          2.69                0.16         
CONF238        -65.028299          ---           -2932.463552       -0.006788        ---         -2932.470340          4.54                0.01         
CONF239        -65.028300          ---           -2932.463542       -0.006780        ---         -2932.470322          4.55                0.01         
CONF240        -65.028301          ---           -2932.459755       -0.009244        ---         -2932.468998          5.38                0.00         
CONF241        -65.028280          ---           -2932.461623       -0.009790        ---         -2932.471413          3.87                0.02         
CONF242        -65.028323          ---           -2932.464625       -0.008777        ---         -2932.473403          2.62                0.19         
CONF250        -65.028225          ---           -2932.458842       -0.009414        ---         -2932.468256          5.85                0.00         
CONF251        -65.028220          ---           -2932.461606       -0.008917        ---         -2932.470523          4.42                0.01         
CONF255        -65.028183          ---           -2932.460962       -0.009444        ---         -2932.470406          4.50                0.01         
CONF257        -65.028171          ---           -2932.461012       -0.009332        ---         -2932.470344          4.54                0.01         
CONF260        -65.028162          ---           -2932.464925       -0.005904        ---         -2932.470829          4.23                0.01         
CONF264        -65.028093          ---           -2932.464618       -0.008684        ---         -2932.473302          2.68                0.17         
CONF265        -65.028090          ---           -2932.461319       -0.007987        ---         -2932.469306          5.19                0.00         
CONF267        -65.028091          ---           -2932.461305       -0.008005        ---         -2932.469310          5.18                0.00         
CONF268        -65.028091          ---           -2932.461295       -0.007997        ---         -2932.469292          5.20                0.00         
CONF269        -65.028092          ---           -2932.461324       -0.007987        ---         -2932.469311          5.18                0.00         
CONF271        -65.028143          ---           -2932.465218       -0.005935        ---         -2932.471152          4.03                0.02         
CONF273        -65.028141          ---           -2932.465625       -0.009913        ---         -2932.475538          1.28                1.80         
CONF274        -65.028139          ---           -2932.465428       -0.009900        ---         -2932.475328          1.41                1.44         
CONF277        -65.028060          ---           -2932.460804       -0.009325        ---         -2932.470129          4.67                0.01         
CONF285        -65.028016          ---           -2932.463497       -0.009253        ---         -2932.472750          3.03                0.09         
CONF289        -65.027991          ---           -2932.463588       -0.009223        ---         -2932.472811          2.99                0.10         
CONF300        -65.027906          ---           -2932.459330       -0.007220        ---         -2932.466550          6.92                0.00         
CONF301        -65.027900          ---           -2932.459108       -0.007690        ---         -2932.466797          6.76                0.00         
CONF302        -65.027906          ---           -2932.461750       -0.009023        ---         -2932.470774          4.27                0.01         
CONF303        -65.027893          ---           -2932.464601       -0.007028        ---         -2932.471629          3.73                0.03         
CONF304        -65.027887          ---           -2932.460306       -0.009506        ---         -2932.469812          4.87                0.00         
CONF305        -65.027882          ---           -2932.460405       -0.009534        ---         -2932.469939          4.79                0.00         
CONF311        -65.027848          ---           -2932.457774       -0.008861        ---         -2932.466635          6.86                0.00         
CONF315        -65.027827          ---           -2932.465602       -0.007370        ---         -2932.472973          2.89                0.12         
CONF316        -65.027807          ---           -2932.464825       -0.007386        ---         -2932.472211          3.36                0.05         
CONF318        -65.027803          ---           -2932.458888       -0.008720        ---         -2932.467608          6.25                0.00         
